"Economy","Law Name","Law Number / Ref","Last Amended","Indicator ID","Article / Section","Discovery Tag","Location Reference","Verbatim Snippet","Mapping Rationale","Source URL","Confidence","Notes"
"Australia","Patents Act 1990","Act No. 83, 1990","","P4-I2","Chapter 13—Infringement, Part 1—Infringement and relief, s. 122","NEW","Chapter 13—Infringement / Part 1—Infringement and relief / 122 Relief for infringement of patent","122 Relief for infringement of patent (1) The relief which a court may grant for infringement of a patent includes an injunction (subject to such terms, if any, as the court thinks fit) and, at the option of the plaintiff, either damages or an account of profits. (1A) A court may include an additional amount in an assessment of damages for an infringement of a patent, if the court considers it appropriate to do so having regard to: (a) the flagrancy of the infringement; and (b) the need to deter similar infringements of patents; and (c) the conduct of the party that infringed the patent that occurred: (i) after the act constituting the infringement; or (ii) after that party was informed that it had allegedly infringed the patent; and (d) any benefit shown to have accrued to that party because of the infringement; and (e) all other relevant matters. (2) On the application of either party, the court may make such order for the inspection of any thing in or on any vehicle, vessel, aircraft or premises, and may impose such terms and give such directions about the inspection, as the court thinks fit.","Manual cleanup confirmed this operative patent provision establishes ordinary civil infringement remedies including injunction, damages, account of profits, and related relief.","https://www.legislation.gov.au/C2004A04014/latest","1.00","framework_element=ordinary_civil_or_administrative_remedies; manual_cleanup_confirmed; source_merge=australia_p4(1).csv"
"Australia","Patents Act 1990","","","P4-I3","Chapter 12 - Compulsory licences and revocation of patents, Part 2 - Compulsory licences (general), 132B Simplified outline of this Part","NEW","Chapter 12 - Compulsory licences and revocation of patents / Part 2 - Compulsory licences (general) / 132B Simplified outline of this Part","132B Simplified outline of this Part The Federal Court may make an order under this Part requiring the grant of a compulsory licence to exploit a patented invention. The court may order a compulsory licence to be granted if certain conditions are met, including that demand in Australia for the invention is not being met on reasonable terms, authorisation to exploit the invention is essential to meet that demand and it is in the public interest to grant the licence. If the person seeking the compulsory licence is the patentee of another invention and is seeking the licence to exploit that other invention, the court must also be satisfied that the other invention involves an important technical advance of considerable economic significance on the original invention. The court may also order a compulsory licence to be granted if the patentee has engaged in restrictive trade practices in connection with the patent under the Competition and Consumer Act 2010 or under an application law (within the meaning of that Act). The court may order a patent to be revoked after an order for a compulsory licence has been made (on the same grounds that apply to an order for a compulsory licence). The patentee must be paid an agreed amount of remuneration, or an amount of remuneration determined by the court.","The provision imposes an operative restriction on the use, licensing or exercise of patent rights in stated circumstances.","https://www.legislation.gov.au/C2004A04014/latest","0.90","affected_patent_right=Right to exclusively exploit the patented invention; patent validity may be affected by revocation after licence order; affected_sector_or_product=Patented invention / patent; compensation_available=Yes. The patentee must be paid an agreed amount or court-determined remuneration.; judicial_review=Not stated in the provided text.; practical_legal_effect=The Federal Court may require a compulsory licence, may later revoke the patent on the same grounds, and must provide remuneration to the patentee.; procedural_safeguards=Not stated in the provided text.; restriction_type=Compulsory licence and possible revocation of patent; scope_horizontal_or_sectoral=Patent-specific; applies to patented inventions in Australia; triggering_conditions=Demand in Australia not met on reasonable terms; authorisation essential to meet that demand; public interest; additional technical-advance condition when applicant is patentee of another invention seeking to exploit that other invention; or restrictive trade practices in connection with the patent"
"Australia","Patents Act 1990","","","P4-I3","Chapter 12 - Compulsory licences and revocation of patents, Part 3 - Patented pharmaceutical invention compulsory licences (for manufacture and export to eligible importing countries), Division 1 - Introduction, 136B Simplified outline of this Part","NEW","Chapter 12 - Compulsory licences and revocation of patents / Part 3 - Patented pharmaceutical invention compulsory licences (for manufacture and export to eligible importing countries) / Division 1 - Introduction / 136B Simplified outline of this Part","136B Simplified outline of this Part The Federal Court may make an order under this Part requiring the grant of a compulsory licence to exploit a patented pharmaceutical invention for manufacture and export to an eligible importing country. The court may order a compulsory licence to be granted if the proposed use of the pharmaceutical product is to address a public health issue in the eligible importing country: (a) in a national emergency (or other extremely urgent circumstances); or (b) by the public non - commercial use of the product. The order may be amended or revoked by another order of the court. The patentee must be paid an agreed amount of remuneration, or an amount of remuneration determined by the court.","The provision imposes an operative restriction on the use, licensing or exercise of patent rights in stated circumstances.","https://www.legislation.gov.au/C2004A04014/latest","0.90","affected_patent_right=Right to exploit the patented pharmaceutical invention / patent right; affected_sector_or_product=Patented pharmaceutical invention / pharmaceutical product; compensation_available=Yes. The patentee must be paid agreed remuneration or remuneration determined by the court.; judicial_review=Not expressly stated in the provided text.; practical_legal_effect=Authorizes the Federal Court to require grant of a compulsory licence, allowing exploitation for manufacture and export to an eligible importing country, with the order amendable or revocable.; procedural_safeguards=The order may be amended or revoked by another order of the court.; restriction_type=Compulsory licence for patented pharmaceutical invention manufacture and export; scope_horizontal_or_sectoral=Sectoral; triggering_conditions=Proposed use must address a public health issue in the eligible importing country, in a national emergency or other extremely urgent circumstances, or by public non-commercial use."
"Australia","Patents Act 1990","","","P4-I3","Chapter 12 - Compulsory licences and revocation of patents, Part 3 - Patented pharmaceutical invention compulsory licences (for manufacture and export to eligible importing countries), Division 2 - Patented pharmaceutical invention compulsory licences, 136D PPI compulsory licences-applications for orders, s. 136D(3)","NEW","Chapter 12 - Compulsory licences and revocation of patents / Part 3 - Patented pharmaceutical invention compulsory licences (for manufacture and export to eligible importing countries) / Division 2 - Patented pharmaceutical invention compulsory licences / 136D PPI compulsory licences-applications for orders","(3) An application must include a copy of a statement made by or on behalf of, and with the authorisation of, the eligible importing country to the effect that it will take reasonable measures within its means, proportionate to its administrative capacities and to the risk of trade diversion, to prevent re - exportation from its territory of a pharmaceutical product imported into its territory in accordance with a PPI compulsory licence. Statement-importer","The provision imposes an operative restriction on the use, licensing or exercise of patent rights in stated circumstances.","https://www.legislation.gov.au/C2004A04014/latest","0.90","affected_patent_right=The patentee’s right to control exploitation of the patented pharmaceutical invention; affected_sector_or_product=Patented pharmaceutical inventions / pharmaceutical products for export to eligible importing countries; compensation_available=Yes; remuneration is referenced in section 136J for the licence.; judicial_review=Federal Court makes the order.; practical_legal_effect=If granted, the court order compels the patentee to grant a licence limited to what is necessary to manufacture a pharmaceutical product in Australia for export to an eligible importing country.; procedural_safeguards=Application must include specified statements from the eligible importing country and, where applicable, the importer; parties to the proceeding are specified in subsection (5).; restriction_type=PPI compulsory licence order restricting the patentee’s exclusive control by requiring grant of a licence for export-manufacture purposes; scope_horizontal_or_sectoral=Sectoral; triggering_conditions=A person may apply to the Federal Court under section 136E for a PPI order; the application must include importer/importing-country statements where applicable."
"Australia","Patents Act 1990","","","P4-I3","Chapter 12 - Compulsory licences and revocation of patents, Part 3 - Patented pharmaceutical invention compulsory licences (for manufacture and export to eligible importing countries), Division 3 - Remuneration, 136J PPI compulsory licences-remuneration, s. 136J(7)","NEW","Chapter 12 - Compulsory licences and revocation of patents / Part 3 - Patented pharmaceutical invention compulsory licences (for manufacture and export to eligible importing countries) / Division 3 - Remuneration / 136J PPI compulsory licences-remuneration","(7) However, if the proposed use of the pharmaceutical product is to address a public health problem in the eligible importing country in other circumstances, by the public non - commercial use of the pharmaceutical product, the licensee must not exploit a patented pharmaceutical invention under a PPI compulsory licence unless an amount has been agreed or determined under this section. Can PPI compulsory licence be revoked if remuneration is not agreed or determined?","The provision imposes an operative restriction on the use, licensing or exercise of patent rights in stated circumstances.","https://www.legislation.gov.au/C2004A04014/latest","0.90","affected_patent_right=Right to exploit/use the patented pharmaceutical invention under a PPI compulsory licence; affected_sector_or_product=Patented pharmaceutical invention / pharmaceutical product for eligible importing countries; compensation_available=Yes. An amount may be agreed or, failing agreement, determined by the Federal Court as adequate remuneration.; judicial_review=Federal Court determination is available; the text provides court involvement in setting/amending remuneration.; practical_legal_effect=Exploitation may be prohibited unless remuneration is agreed/determined in some circumstances, permitted regardless in emergency/extreme urgency, and revocation remains possible regardless of remuneration status.; procedural_safeguards=A person may apply to the Federal Court to make or amend a determination; parties to proceedings are identified in the parent provision.; restriction_type=PPI compulsory licence remuneration-based restriction on exploitation; scope_horizontal_or_sectoral=Sector-specific; patented pharmaceutical invention compulsory licences for manufacture and export to eligible importing countries; triggering_conditions=Public health problem in the eligible importing country; either public non-commercial use in other circumstances, or national emergency/extreme urgency"
"Australia","Patents Act 1990","","","P4-I3","Chapter 12 - Compulsory licences and revocation of patents, Part 3 - Patented pharmaceutical invention compulsory licences (for manufacture and export to eligible importing countries), Division 3 - Remuneration, 136J PPI compulsory licences-remuneration, s. 136J(8)","NEW","Chapter 12 - Compulsory licences and revocation of patents / Part 3 - Patented pharmaceutical invention compulsory licences (for manufacture and export to eligible importing countries) / Division 3 - Remuneration / 136J PPI compulsory licences-remuneration","(8) To avoid doubt, a PPI compulsory licence may be revoked whether or not an amount has been agreed or determined under this section.","The provision imposes an operative restriction on the use, licensing or exercise of patent rights in stated circumstances.","https://www.legislation.gov.au/C2004A04014/latest","0.90","affected_patent_right=Use/exploitation of a patented pharmaceutical invention under a PPI compulsory licence; revocation of the licence; affected_sector_or_product=Patented pharmaceutical inventions for manufacture and export to eligible importing countries; compensation_available=Yes. The patentee is to be paid an amount agreed or determined, with Federal Court determination of adequate remuneration if needed.; judicial_review=Federal Court determines remuneration and may amend the determination.; practical_legal_effect=A PPI compulsory licence can be revoked even if remuneration has not been agreed or determined, while remuneration remains payable for authorized use and the availability of exploitation depends on the emergency/public-non-commercial use conditions.; procedural_safeguards=Application may be made to the Federal Court to make or amend the remuneration determination; parties to proceedings are specified.; restriction_type=Revocation and exploitation/remuneration condition for PPI compulsory licences; scope_horizontal_or_sectoral=Sectoral; triggering_conditions=PPI compulsory licence context; remuneration not agreed or determined; licence in force or ceased; public health problem in eligible importing country; national emergency/extreme urgency; public non-commercial use"
"Australia","Patent Cooperation Treaty","WIPO treaty status","2026-07-20","P4-I4","Treaty status","NEW","Effective date: 1980-03-31; last checked: 2026-07-20","The Patent Cooperation Treaty is in force for Australia.","The local audited WIPO status registry records Australia as party for Patent Cooperation Treaty.","https://www.wipo.int/pct/en/pct_contracting_states.html","0.90","status=party; effective_date=1980-03-31; last_checked=2026-07-20"
"Australia","Advance Australia Logo Protection Act 1984","Act No. 20, 1984","","P4-I5","19 Application of Copyright Act and Designs Act, s. 19(2)","NEW","19 Application of Copyright Act and Designs Act","(2) During the prescribed period, it is not an infringement of the copyright in the logo to do any act or thing that, at the time when it is done, is an act or thing that, by virtue of this Act, the owner of the design of the logo has the exclusive right to do.","The provision supplies copyright exceptions within the copyright legal framework.","https://www.legislation.gov.au/C2004A02884/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=limits_remedy"
"Australia","Advance Australia Logo Protection Act 1984","Act No. 20, 1984","","P4-I5","19 Application of Copyright Act and Designs Act, s. 19(3)","NEW","19 Application of Copyright Act and Designs Act","(3) After the expiration of the prescribed period, it is not an infringement of the copyright in the logo to do any act or thing that, had it been done immediately before the expiration of the prescribed period, would have been an act or thing that, by virtue of this Act, the owner of the design of the logo would have had the exclusive right to do if a reference in this Act to the design of the logo had, immediately before the expiration of the prescribed period, included a reference to another design that when applied to an article differs from the design of the logo only in immaterial details or in features commonly used in a relevant trade.","The provision supplies copyright exceptions within the copyright legal framework.","https://www.legislation.gov.au/C2004A02884/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=limits_remedy"
"Australia","Copyright Act 1968","","","P4-I5","Part I - Preliminary, 8A Prerogative rights of the Crown in the nature of copyright, s. 8A(2)","KNOWN","Part I - Preliminary / 8A Prerogative rights of the Crown in the nature of copyright","(2) Where a right or privilege of the Crown by way of copyright subsists in a work or published edition of a work, a person does not infringe that right or privilege by doing, or authorizing the doing of, an act in relation to the work or edition without the licence of the Crown if, assuming that that right or privilege of the Crown did not subsist in the work or edition, but copyright subsisted under this Act in the work or edition and was owned by a person other than the Crown, the person would not infringe the copyright of that owner in the work or edition by doing, or by authorizing the doing of, that act without the licence of the owner.","Subsection (2) provides an operative copyright non-infringement exception for acts involving a Crown prerogative right by way of copyright: where the Crown licence is absent, infringement does not occur if a counterfactual test shows the act would not infringe the copyright of a non-Crown owner.","https://www.legislation.gov.au/C1968A00063/latest","0.90","framework_element=copyright_exceptions; legal_function=exception; coverage=horizontal; evidence_character=core_operative; remedy_direction=defence_or_immunity"
