Economy,Law Name,Law Number / Ref,Last Amended,Indicator ID,Article / Section,Discovery Tag,Location Reference,Verbatim Snippet,Mapping Rationale,Source URL,Confidence,Notes
Singapore,Patents Act 1994,Act 21 of 1994,2025,P4-I2,s. 67,NEW,Proceedings for infringement of patent,"67. —(1) Subject to this Part, civil proceedings may be brought in the court by the proprietor of a patent in respect of any act alleged to infringe the patent and (without prejudice to any other jurisdiction of the court) in those proceedings a claim may be made — ( a ) for an injunction restraining the defendant from any apprehended act of infringement; ( b ) for an order for the defendant to deliver up or destroy any patented product in relation to which the patent is infringed or any article in which that product is inextricably comprised or any material and implement the predominant use of which has been in the creation of the infringing product; ( c ) for damages in respect of the infringement; ( d ) for an account of the profits derived by the defendant from the infringement; and ( e ) for a declaration that the patent is valid and has been infringed by the defendant. (2) The court must not, in respect of the same infringement, both award the proprietor of a patent damages and order that the proprietor be given an account of the profits. (3) In this Act, unless the context otherwise requires, any reference to a claimant includes a reference to the proprietor of the patent. (4) [ Deleted by Act 23 of 2019 wef 01/04/2022 ] (5) [ Deleted by Act 23 of 2019 wef 01/04/2022 ] (6) Subject to this Part, in determining whether or not to grant any kind of relief claimed under this section and the extent of the relief granted, the court must apply the principles applied by the court in relation to that kind of relief immediately before 23 February 1995.","Manual cleanup confirmed this operative patent provision establishes ordinary civil infringement remedies including injunction, damages, account of profits, and related relief.",https://sso.agc.gov.sg/act/pa1994#pr67-,1.00,framework_element=ordinary_civil_or_administrative_remedies; framework_status=partial; rdtii_score=0.5; provisional_measures_not_confirmed; human_review_decision=accept
Singapore,Patent Cooperation Treaty,WIPO treaty status,,P4-I4,Treaty status,NEW,Effective date: 1995-02-23; last checked: 2026-07-20,The Patent Cooperation Treaty is in force for Singapore.,The local audited WIPO status registry records Singapore as party for Patent Cooperation Treaty.,https://www.wipo.int/pct/en/pct_contracting_states.html,0.90,status=party; effective_date=1995-02-23; last_checked=2026-07-20
Singapore,Copyright (Access Control Measures — Prescribed Exceptions) Regulations 2024,S 988/2024,,P4-I5,Reg. 4,NEW,"Exception — circumventing access control measure that prevents text from being converted into accessible format, etc.","4. A person may circumvent an access control measure that has been applied to a protected copy of a literary or dramatic work if — ( a ) the work is in an electronic format; ( b ) the access control measure has been applied to all reasonably available electronic copies of the work (including any digital text edition made available by an institution aiding persons with print disabilities) so as to — (i) prevent the operation of any function that reads aloud the text of the work; or (ii) prevent any specialised assistive device or computer software from converting the text of the work into an accessible format; and ( c ) the circumvention is for the purpose of a dealing, in relation to the work, in circumstances that constitute a permitted use under any provision in Division 4 of Part 5 of the Act.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/sl/ca2021-s988-2024,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright (Access Control Measures — Prescribed Exceptions) Regulations 2024,S 988/2024,,P4-I5,Reg. 5(1),NEW,Exception — preservation and replacement of material in public collections,"(1) Subject to paragraph (2), a person may circumvent an access control measure that has been applied to a protected copy of an authorial work, a sound recording, a film or a recording of a protected performance if the circumvention is for the purpose of making a copy of the authorial work, sound recording, film or recording of a protected performance in circumstances that constitute a permitted use under section 232(1) of the Act.","This provision creates an explicit copyright exception permitting circumvention of an access control measure only when used to make copies in circumstances that constitute a permitted use under section 232(1) of the Act, with a carve-out in paragraph (2).",https://sso.agc.gov.sg/sl/ca2021-s988-2024,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright (Access Control Measures — Prescribed Exceptions) Regulations 2024,S 988/2024,,P4-I5,Reg. 6(1),NEW,Exception — administration of public collections,"(1) Subject to paragraph (2), a person may circumvent an access control measure that has been applied to a protected copy of an authorial work, a sound recording, a film or a recording of a protected performance if the circumvention is for the purpose of making a copy of or communicating the authorial work, sound recording, film or recording of a protected performance in circumstances that constitute a permitted use under section 233(1) of the Act.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/sl/ca2021-s988-2024,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 127,KNOWN,PART 3 - COPYRIGHT IN WORKS / Division 6 — Broadcasts / Nature of copyright in broadcasts,"127. For the purposes of this Act, unless the contrary intention appears, copyright in a broadcast is the exclusive right to do all or any of the following acts: ( a ) to make a copy of the broadcast; ( b ) to communicate the broadcast to the public (whether by rebroadcasting it or otherwise); ( c ) in the case of a television broadcast — (i) to cause it, insofar as it consists of visual images, to be seen in public by a paying audience; or (ii) to cause it, insofar as it consists of sounds, to be heard in public by a paying audience.","S1 sets out the exclusive acts constituting copyright in a broadcast, which is the operative copyright framework element for P4-I5. The provided text contains no operative exception/permitted use or non-infringement rule for COPYRIGHT_EXCEPTIONS.",https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_framework; legal_function=substantive_duty; coverage=sectoral; evidence_character=core_operative; remedy_direction=not_applicable
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 183(1),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 1 — General provisions / Permitted uses are not rights infringements,"(1) Where an act in relation to a work is a permitted use, the act is not an infringement of any copyright in the work.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=substantive_duty; coverage=horizontal; evidence_character=core_operative; remedy_direction=limits_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 183(2),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 1 — General provisions / Permitted uses are not rights infringements,"(2) Where an act in relation to a protected performance is a permitted use, the act is not an infringing use of the performance.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=substantive_duty; coverage=horizontal; evidence_character=core_operative; remedy_direction=limits_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 187(1),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 1 — General provisions / Permitted uses that may not be excluded or restricted,"(1) Any contract term is void to the extent that it purports, directly or indirectly, to exclude or restrict any permitted use under any provision in — ( a ) Division 6 (public collections), but not section 234 (supplying copies of published literary, dramatic or musical works or articles between libraries and archives); ( b ) Division 7 (computer programs); ( c ) Division 8 (computational data analysis); or ( d ) Division 17 (judicial proceedings and legal advice).",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=substantive_duty; coverage=sectoral; evidence_character=core_operative; remedy_direction=limits_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 187(2),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 1 — General provisions / Permitted uses that may not be excluded or restricted,"(2) Without limiting subsection (1), a contract term is void to the extent that it purports, directly or indirectly, to prevent or restrict the doing of any of the following acts in circumstances that constitute a permitted use under the provisions mentioned in subsection (1): ( a ) making a copy of a work or a recording of a protected performance; ( b ) supplying (whether by communication or otherwise) a copy of a work or a recording of a performance; ( c ) performing a work or a recording of a protected performance.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=substantive_duty; coverage=sectoral; evidence_character=core_operative; remedy_direction=limits_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 190,NEW,Fair use is permitted use,190. —(1) It is a permitted use of a work to make a fair use of the work. (2) It is a permitted use of a protected performance to make a fair use of — ( a ) the performance; or ( b ) a recording of the performance.,Manual cleanup confirmed this operative copyright provision states fair use is a permitted use.,https://sso.agc.gov.sg/act/ca2021#pr190-,1.00,framework_element=copyright_exceptions; framework_status=complete; human_review_decision=accept
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 190(2),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 2 — Fair use / Fair use is permitted use,(2) It is a permitted use of a protected performance to make a fair use of — ( a ) the performance; or ( b ) a recording of the performance.,The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=substantive_duty; coverage=horizontal; evidence_character=core_operative; remedy_direction=not_applicable
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 193(1),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 2 — Fair use / Deemed fair use where work or recording included in fairly‑used work,(1) This section applies where — ( a ) any of the following is used for the purpose of criticism or review: (i) a sound recording; (ii) a film; (iii) a broadcast; (iv) a cable programme; (v) a protected performance (including a recording of the performance); and ( b ) the use is fair.,The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=uncertain; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 193(3),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 2 — Fair use / Deemed fair use where work or recording included in fairly‑used work,"(3) To avoid doubt, this section does not limit what would otherwise be a fair use.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 194(1),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 2 — Fair use / Deemed fair use where reasonable portion copied for research or study,"(1) Making a copy of a literary, dramatic or musical work for the purpose of research or study is deemed to be a fair use (and section 191 does not apply) if — ( a ) the work is an article in a periodical publication; or ( b ) no more than a reasonable portion of the work is copied.",S1 creates an operative copyright exception by deeming research/study copying to be fair use (with an explicit non-application of section 191). S2 provides operative carve-outs where the exception does not apply. S3 confirms the exception does not limit other fair use.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=horizontal; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 194(3),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 2 — Fair use / Deemed fair use where reasonable portion copied for research or study,"(3) To avoid doubt, this section does not limit what would otherwise be a fair use.",Operative provision creates a permitted-use exception by deeming research/study copying to be fair use subject to specific conditions and an exclusion where multiple different-subject articles from the same periodical are copied. This is an explicit copyright exception within Part 5 Division 2.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 196(1),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Copying authorial work by non‑reprographic means for course of education,"(1) If the conditions in subsection (2) are met, it is a permitted use to make a copy of an authorial work.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 196(2),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Copying authorial work by non‑reprographic means for course of education,(2) The conditions are — ( a ) the copy is made for the purposes of a course of education; ( b ) the copy is made by a person conducting or undergoing the course; and ( c ) the copy is not made by a reprographic process.,The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 197(1),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Copying or communicating very small portions of literary or dramatic work for course of education provided by educational institutions,"(1) If the conditions in subsection (2) are met, it is a permitted use of a literary or dramatic work for a person ( X ) to — ( a ) make a copy of a part (but not the whole) of the work in an edition of the work; or ( b ) communicate a part (but not the whole) of the work in an edition of the work.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy; government_or_official_only=False
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 197(2),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Copying or communicating very small portions of literary or dramatic work for course of education provided by educational institutions,"(2) The conditions are — ( a ) the copy or communication is made for the purposes of a course of education provided by an educational institution; ( b ) either — (i) the copy or communication is made on or from the institution’s premises; or (ii) the copy (being an electronic copy) or communication is made on a network operated or controlled by the institution; ( c ) the part of the work that is copied or communicated does not exceed — (i) if the edition has 500 pages or less — 5 pages; (ii) if the edition has more than 500 pages — 5% of the total number of pages in the edition; (iii) if the edition is an electronic edition and is not divided into pages — (A) 5% of the total number of bytes in the edition; and (B) 5% of the total number of words in the edition or, where it is not practicable to use the total number of words as a measure, 5% of the contents of the edition; and ( d ) in the 14 days before the day on which the work is copied or communicated, X does not (whether on X ’s own behalf or on behalf of another person) — (i) copy or communicate any part of the work; or (ii) cause any part of the work to be copied or communicated.",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy
Singapore,Copyright Act 2021,Act 22 of 2021,2026,P4-I5,s. 198(2),KNOWN,PART 5 - PERMITTED USES OF COPYRIGHT WORKS AND PROTECTED PERFORMANCES / Division 3 — Education and educational institutions / Copying or communicating material for educational purposes of educational institutions,"(2) The conditions are — ( a ) the copy or communication is made by or on behalf of the body ( X ) administering an educational institution for the educational purposes of any educational institution; ( b ) in the case of an article in a periodical publication — (i) the copy or communication does not include 2 or more articles contained in the same periodical publication; or (ii) the copied or communicated articles relate to the same subject matter; ( c ) in the case of any other material that has been separately published — (i) not more than a reasonable portion of the material is copied or communicated; or (ii) before the material is copied or communicated, X (or a person acting on behalf of X ) — (A) makes a reasonable investigation; and (B) is satisfied that there is no new copy of the material that could be obtained within a reasonable time at an ordinary commercial price; ( d ) in the case of subsection (1)( a ) — the copy is notated according to section 301; and ( e ) as soon as practicable after the copy or communication is made, the prescribed record is made by or on behalf of X .",The provision supplies copyright exceptions within the copyright legal framework.,https://sso.agc.gov.sg/act/ca2021,0.90,framework_element=copyright_exceptions; legal_function=exception; coverage=sectoral; evidence_character=core_operative; remedy_direction=grants_remedy; protected_private_or_commercial_information=False; government_or_official_only=False
